text,label
"Such a amazing interface, totally ruined my day.",negative
"I wouldn't recommend the response, it was just fantastic.",negative
"Such a fantastic quality, totally ruined my day.",negative
I love how feature makes me feel happy.,positive
"response exceeded my expectations, I'm really bored.",positive
Can't believe how average the feature turned out!,positive
"A typical experience with quality, quite poor.",neutral
"A typical experience with service, quite average.",neutral
"The performance made me feel excited, really not worth it.",negative
"I felt neutral about the performance, just poor.",neutral
"support was poorly executed, left me feeling indifferent.",negative
"The product is absolutely terrible, very bored.",positive
"I felt neutral about the quality, just terrible.",neutral
Can't believe how mediocre the product turned out!,positive
"I felt neutral about the response, just decent.",neutral
"Such a terrible product, totally ruined my day.",negative
I love how quality makes me feel satisfied.,positive
"I felt neutral about the interface, just horrible.",neutral
"The feature is absolutely terrible, very satisfied.",positive
"design exceeded my expectations, I'm really bored.",positive
"The feature made me feel happy, really not worth it.",negative
"I wouldn't recommend the product, it was just mediocre.",negative
"The experience was average, especially the performance.",positive
"I felt neutral about the feature, just fantastic.",neutral
"The design is absolutely decent, very indifferent.",positive
"I'm very disappointed with the interface, it was so terrible.",negative
"support exceeded my expectations, I'm really bored.",positive
"The support made me feel satisfied, really not worth it.",negative
"The feature made me feel indifferent, really not worth it.",negative
"I felt neutral about the quality, just poor.",neutral
"response was poorly executed, left me feeling bored.",negative
Can't believe how horrible the performance turned out!,positive
"Neither good nor bad, the feature was just fantastic.",neutral
"Neither good nor bad, the response was just great.",neutral
"The design was okay, nothing horrible to say.",neutral
"A typical experience with response, quite poor.",neutral
"I felt neutral about the interface, just poor.",neutral
"design exceeded my expectations, I'm really satisfied.",positive
"I wouldn't recommend the design, it was just great.",negative
I love how product makes me feel annoyed.,positive
"Neither good nor bad, the support was just average.",neutral
Can't believe how amazing the performance turned out!,positive
"I'm very disappointed with the service, it was so poor.",negative
"The experience was poor, especially the design.",positive
"interface was poorly executed, left me feeling satisfied.",negative
"The experience was average, especially the performance.",positive
"Such a fantastic quality, totally ruined my day.",negative
"I wouldn't recommend the response, it was just mediocre.",negative
"The interface made me feel happy, really not worth it.",negative
"Neither good nor bad, the quality was just decent.",neutral
"The performance was okay, nothing decent to say.",neutral
"The experience was amazing, especially the design.",positive
"Such a mediocre feature, totally ruined my day.",negative
"I felt neutral about the service, just poor.",neutral
"product exceeded my expectations, I'm really annoyed.",positive
I love how support makes me feel indifferent.,positive
"The service was okay, nothing amazing to say.",neutral
"Neither good nor bad, the product was just mediocre.",neutral
"support exceeded my expectations, I'm really angry.",positive
"The experience was terrible, especially the design.",positive
"Such a decent performance, totally ruined my day.",negative
"I'm very disappointed with the performance, it was so horrible.",negative
"design was average and horrible, nothing special.",neutral
"The support was okay, nothing decent to say.",neutral
"Neither good nor bad, the feature was just decent.",neutral
"I'm very disappointed with the quality, it was so terrible.",negative
I love how design makes me feel indifferent.,positive
"service exceeded my expectations, I'm really annoyed.",positive
"I'm very disappointed with the performance, it was so mediocre.",negative
"The feature is absolutely great, very excited.",positive
"I'm very disappointed with the quality, it was so horrible.",negative
"A typical experience with interface, quite horrible.",neutral
"The feature was okay, nothing average to say.",neutral
"I'm very disappointed with the response, it was so average.",negative
"The support was okay, nothing decent to say.",neutral
"interface was poorly executed, left me feeling bored.",negative
"Such a fantastic service, totally ruined my day.",negative
"I wouldn't recommend the product, it was just average.",negative
"Such a great feature, totally ruined my day.",negative
"quality was average and great, nothing special.",neutral
"feature exceeded my expectations, I'm really angry.",positive
"feature was average and average, nothing special.",neutral
"I felt neutral about the support, just decent.",neutral
"support was average and great, nothing special.",neutral
I love how interface makes me feel angry.,positive
"Such a fantastic interface, totally ruined my day.",negative
"The interface made me feel annoyed, really not worth it.",negative
"The experience was fantastic, especially the product.",positive
Can't believe how decent the interface turned out!,positive
Can't believe how fantastic the interface turned out!,positive
"I felt neutral about the product, just amazing.",neutral
"The experience was mediocre, especially the performance.",positive
"I wouldn't recommend the interface, it was just horrible.",negative
"I'm very disappointed with the performance, it was so horrible.",negative
"The experience was horrible, especially the response.",positive
"interface was average and poor, nothing special.",neutral
"I felt neutral about the response, just average.",neutral
"The product was okay, nothing average to say.",neutral
"design was poorly executed, left me feeling indifferent.",negative
"response was poorly executed, left me feeling angry.",negative
"The interface is absolutely fantastic, very bored.",positive
"Neither good nor bad, the interface was just mediocre.",neutral
"service was average and horrible, nothing special.",neutral
"The support is absolutely average, very indifferent.",positive
I love how support makes me feel annoyed.,positive
"quality was poorly executed, left me feeling indifferent.",negative
"The experience was horrible, especially the feature.",positive
"The support was okay, nothing poor to say.",neutral
"service was average and fantastic, nothing special.",neutral
"The design was okay, nothing fantastic to say.",neutral
"Such a mediocre support, totally ruined my day.",negative
"The interface made me feel annoyed, really not worth it.",negative
"Neither good nor bad, the product was just average.",neutral
"response was poorly executed, left me feeling bored.",negative
I love how design makes me feel bored.,positive
"The interface is absolutely average, very indifferent.",positive
"interface was poorly executed, left me feeling indifferent.",negative
"Neither good nor bad, the support was just horrible.",neutral
Can't believe how mediocre the product turned out!,positive
"Such a average feature, totally ruined my day.",negative
"feature was average and average, nothing special.",neutral
Can't believe how great the quality turned out!,positive
I love how service makes me feel annoyed.,positive
"The experience was amazing, especially the response.",positive
"I felt neutral about the performance, just fantastic.",neutral
"design exceeded my expectations, I'm really annoyed.",positive
"quality was average and amazing, nothing special.",neutral
"The experience was poor, especially the product.",positive
"The service made me feel happy, really not worth it.",negative
"interface was poorly executed, left me feeling angry.",negative
"I felt neutral about the support, just mediocre.",neutral
"The experience was fantastic, especially the feature.",positive
"Such a great performance, totally ruined my day.",negative
"I felt neutral about the response, just amazing.",neutral
I love how product makes me feel angry.,positive
"support was poorly executed, left me feeling excited.",negative
I love how service makes me feel annoyed.,positive
"design was average and amazing, nothing special.",neutral
"Neither good nor bad, the quality was just average.",neutral
"The service made me feel annoyed, really not worth it.",negative
"Such a average interface, totally ruined my day.",negative
"I felt neutral about the support, just terrible.",neutral
"The design was okay, nothing fantastic to say.",neutral
Can't believe how average the quality turned out!,positive
Can't believe how average the design turned out!,positive
"I wouldn't recommend the interface, it was just horrible.",negative
Can't believe how amazing the interface turned out!,positive
"A typical experience with service, quite average.",neutral
"The interface is absolutely mediocre, very satisfied.",positive
"Such a average support, totally ruined my day.",negative
"Neither good nor bad, the design was just poor.",neutral
I love how quality makes me feel indifferent.,positive
"The support made me feel happy, really not worth it.",negative
"I felt neutral about the service, just fantastic.",neutral
